Time,S(t),I_h(t),R_h(t),S_v(t),I_v(t)
5.555555556,2.5005503,167.19232,57.50767,67.580185,80.070786
5.585585586,2.4972124,167.28166,57.907654,67.54477,80.17582
5.615615616,2.4939485,167.36938,58.307842,67.51003,80.2788
5.645645646,2.4907565,167.45552,58.70823,67.47596,80.379776
5.675675676,2.487635,167.5401,59.10881,67.44254,80.47878
5.705705706,2.4845817,167.62315,59.509583,67.40977,80.57587
5.735735736,2.4815955,167.7047,59.91054,67.37762,80.67106
5.765765766,2.4786744,167.78477,60.311687,67.346085,80.7644
5.795795796,2.475817,167.8634,60.713013,67.315155,80.85591
5.825825826,2.473022,167.94061,61.114517,67.28482,80.94565
5.855855856,2.4702873,168.01643,61.516193,67.255066,81.03364
5.885885886,2.467612,168.09088,61.91804,67.22588,81.11991
5.915915916,2.4649944,168.16399,62.320057,67.19726,81.204506
5.945945946,2.4624336,168.23578,62.722237,67.16918,81.28745
5.975975976,2.4599276,168.30627,63.124577,67.14164,81.36878
6.006006006,2.4574757,168.37549,63.527077,67.114624,81.44853
6.036036036,2.4550762,168.44347,63.92973,67.08813,81.526726
6.066066066,2.452728,168.51021,64.332535,67.06213,81.6034
6.096096096,2.45043,168.57576,64.73549,67.03664,81.67858
6.126126126,2.448181,168.64012,65.13859,67.01163,81.752304
6.156156156,2.4459796,168.70332,65.54183,66.98709,81.82459
6.186186186,2.443825,168.7654,65.94521,66.96302,81.89547
6.216216216,2.441716,168.82634,66.34874,66.939415,81.96497
6.246246246,2.4396517,168.88618,66.752396,66.91626,82.03313
6.276276276,2.437631,168.94496,67.15619,66.89354,82.09995
6.306306306,2.4356527,169.00269,67.56011,66.871254,82.16548
6.336336336,2.4337163,169.05937,67.96416,66.849396,82.22974
6.366366366,2.4318204,169.11504,68.36833,66.82795,82.29274
6.396396396,2.4299643,169.1697,68.77263,66.80691,82.35452
6.426426426,2.428147,169.22337,69.17705,66.78627,82.4151
6.456456456,2.4263678,169.2761,69.58158,66.76602,82.4745
6.486486486,2.4246259,169.32785,69.98623,66.746155,82.53275
6.516516517,2.42292,169.3787,70.39099,66.72667,82.589874
6.546546547,2.4212496,169.42862,70.79587,66.70755,82.64589
6.576576577,2.4196138,169.47765,71.20085,66.6888,82.70081
6.606606607,2.4180121,169.52579,71.60594,66.670395,82.75468
6.636636637,2.4164433,169.57307,72.01114,66.65234,82.807495
6.666666667,2.414907,169.6195,72.416435,66.63463,82.85928
6.696696697,2.4134028,169.6651,72.82183,66.61725,82.91007
6.726726727,2.4119294,169.70988,73.227325,66.6002,82.95988
6.756756757,2.4104862,169.75386,73.63292,66.583466,83.00871
6.786786787,2.4090729,169.79704,74.038605,66.567055,83.0566
6.816816817,2.4076884,169.83946,74.44439,66.55095,83.10357
6.846846847,2.4063323,169.88112,74.850266,66.53515,83.14962
6.876876877,2.405004,169.92203,75.256226,66.519646,83.19478
6.906906907,2.403703,169.9622,75.66228,66.50443,83.23907
6.936936937,2.4024284,170.00165,76.06841,66.48951,83.2825
6.966966967,2.4011798,170.04039,76.47463,66.47487,83.32509
6.996996997,2.399957,170.07845,76.880936,66.4605,83.36685
7.027027027,2.398759,170.11581,77.287315,66.4464,83.40781
7.057057057,2.3975852,170.15251,77.69378,66.43257,83.447975
7.087087087,2.396435,170.18855,78.10032,66.41899,83.487366
7.117117117,2.3953085,170.22395,78.506935,66.40567,83.52599
7.147147147,2.3942046,170.25871,78.91363,66.3926,83.56387
7.177177177,2.3931231,170.29285,79.32039,66.379776,83.60102
7.207207207,2.3920636,170.32637,79.72723,66.36719,83.63745
7.237237237,2.3910253,170.3593,80.13413,66.354836,83.67318
7.267267267,2.390008,170.39163,80.54111,66.34271,83.70822
7.297297297,2.3890111,170.42339,80.94815,66.33082,83.742584
